frame,substep,transition,dEnergy,dSpeed,dGXV,dGrad,toStage,toMaxGradName,toMaxGradX,toMaxGradY
271,4,"afterNewGradV->afterNewGradU",0,0,0,0,"afterNewGradU","GXV",79,64
271,5,"beforeCip->afterCipVelocity",0.00006657,-0.000011301,0.001820415,0.001820415,"afterCipVelocity","GXV",79,64
271,5,"afterCipVelocity->afterRhs",-0.000006751,-0.000003236,0,0,"afterRhs","GXV",79,64
271,5,"afterRhs->afterNewGradV",0,0,-0.000005037,-0.000005037,"afterNewGradV","GXV",79,64
271,5,"afterNewGradV->afterNewGradU",0,0,0,0,"afterNewGradU","GXV",79,64
271,6,"beforeCip->afterCipVelocity",0.000067645,-0.000011857,0.001832634,0.001832634,"afterCipVelocity","GXV",79,64
271,6,"afterCipVelocity->afterRhs",-0.000006753,-0.000002824,0,0,"afterRhs","GXV",79,64
271,6,"afterRhs->afterNewGradV",0,0,-0.000005037,-0.000005037,"afterNewGradV","GXV",79,64
271,6,"afterNewGradV->afterNewGradU",0,0,0,0,"afterNewGradU","GXV",79,64
271,7,"beforeCip->afterCipVelocity",0.000068739,-0.000012413,0.001844943,0.001844943,"afterCipVelocity","GXV",79,64
271,7,"afterCipVelocity->afterRhs",-0.000006755,-0.000002408,0,0,"afterRhs","GXV",79,64
271,7,"afterRhs->afterNewGradV",0,0,-0.000005066,-0.000005066,"afterNewGradV","GXV",79,64
271,7,"afterNewGradV->afterNewGradU",0,0,0,0,"afterNewGradU","GXV",79,64
271,8,"beforeCip->afterCipVelocity",0.000069852,-0.000012964,0.00185737,0.00185737,"afterCipVelocity","GXV",79,64
271,8,"afterCipVelocity->afterRhs",-0.000006755,-0.000001992,0,0,"afterRhs","GXV",79,64
271,8,"afterRhs->afterNewGradV",0,0,-0.000005066,-0.000005066,"afterNewGradV","GXV",79,64
271,8,"afterNewGradV->afterNewGradU",0,0,0,0,"afterNewGradU","GXV",79,64
271,9,"beforeCip->afterCipVelocity",0.000070984,-0.000013511,0.001869917,0.001869917,"afterCipVelocity","GXV",79,64
271,9,"afterCipVelocity->afterRhs",-0.000006757,-0.000001584,0,0,"afterRhs","GXV",79,64
271,9,"afterRhs->afterNewGradV",0,0,-0.000005066,-0.000005066,"afterNewGradV","GXV",79,64
271,9,"afterNewGradV->afterNewGradU",0,0,0,0,"afterNewGradU","GXV",79,64
271,10,"beforeCip->afterCipVelocity",0.000072136,-0.000014058,0.001882553,0.001882553,"afterCipVelocity","GXV",79,64
271,10,"afterCipVelocity->afterRhs",-0.000006759,-0.000001175,0,0,"afterRhs","GXV",79,64
271,10,"afterRhs->afterNewGradV",0,0,-0.000005066,-0.000005066,"afterNewGradV","GXV",79,64
271,10,"afterNewGradV->afterNewGradU",0,0,0,0,"afterNewGradU","GXV",79,64
271,11,"beforeCip->afterCipVelocity",0.000073307,-0.000014605,0.001895308,0.001895308,"afterCipVelocity","GXV",79,64
271,11,"afterCipVelocity->afterRhs",-0.00000676,-7.64e-7,0,0,"afterRhs","GXV",79,64
271,11,"afterRhs->afterNewGradV",0,0,-0.000005066,-0.000005066,"afterNewGradV","GXV",79,64
271,11,"afterNewGradV->afterNewGradU",0,0,0,0,"afterNewGradU","GXV",79,64
272,0,"beforeCip->afterCipVelocity",0.000074498,-0.000015148,0.001908183,0.001908183,"afterCipVelocity","GXV",79,64
272,0,"afterCipVelocity->afterRhs",-0.000006762,-3.6e-7,0,0,"afterRhs","GXV",79,64
272,0,"afterRhs->afterNewGradV",0,0,-0.000005096,-0.000005096,"afterNewGradV","GXV",79,64
272,0,"afterNewGradV->afterNewGradU",0,0,0,0,"afterNewGradU","GXV",79,64
272,1,"beforeCip->afterCipVelocity",0.000075709,-0.000015687,0.001921177,0.001921177,"afterCipVelocity","GXV",79,64
272,1,"afterCipVelocity->afterRhs",-0.000006764,4.4e-8,0,0,"afterRhs","GXV",79,64
